,Unnamed: 0,Datetime,Tweet Id,Text,Username,Follower Count,User ID
64,64,2021-09-14 23:49:38+00:00,1437926546044489738,"@paytmmoneycare @paytmcare please unblock my account
paytm number 9517186569
main pareshan ho gaya hun paytm customer care par call karte karte",SochoDell,0,1437731588876419079
65,65,2021-09-14 23:35:38+00:00,1437923022594314246,"@paytmmoney 
please unblock my account
paytm number 9517186569
main pareshan ho gaya hun paytm customer care par call karte karte mera paisa return kar do rs 1,16000 hai please",SochoDell,0,1437731588876419079
66,66,2021-09-14 20:00:03+00:00,1437868770274517001,"@paytmbank please unblock my account
paytm number 9517186569
main pareshan ho gaya hun paytm customer care par call karte karte mera paisa return kar do rs 1,16000 hai please",SochoDell,0,1437731588876419079
67,67,2021-09-14 07:58:23+00:00,1437687155262992385,@riturajind @irctcofficial @paytm customer care...9692347119,SaniyaK46478466,1,1434018314976567302
69,69,2021-09-13 11:02:19+00:00,1437371054201008135,"@paytmcare @paytm  transferred 12,500 on september 2nd to 9902066838. but recipients says they did not received the payment. the money is not reversed to me either. please look into this at earliest. tried connect to customer care, no luck.",Deekshi1,69,369438146
71,71,2021-09-12 06:24:55+00:00,1436938856339628040,"my account is 15-20 days old today, verification is pending &amp; my payments are not on hold. if you don't complete the verification mob : 7908254751, back up the money. if you call your customer care, it will take 1-2 days. thanks for the bad service @paytm @paytmmoney @paytmbank",Ranjitroy375,33,740231177592700928
74,74,2021-09-10 10:18:46+00:00,1436272933190574085,"dear @paytm its been more than 72 hrs and i have called ur customer care more than 6 times for rescheduling my flight, everytime they told i will get call from concern team shortly, but i didnot receive single call. pl ask ur team 2 cl
booking id 15000626720
call me @ 8015838586",Abhijit_Mpharma,40,828140096687730690
77,77,2021-09-05 07:49:11+00:00,1434423350906875911,"@paytmcare @paytm hi team yesterday i did the electricity recharge of rs 3000 from my wallet no. 8802655723.
but this amount is not added to my meter. as per builder they have not received that money.
 there is no option to call paytem customer care or email them. pls help https://t.co/i05dmngd42",SanjayS33942425,3,1203967748000235520
78,78,2021-09-05 06:34:42+00:00,1434404604867801093,@paytmbusiness what the stupid customer care team you handling and @paytm @paytmcare your company planning ipo . pls ask any verified person to call and resolve issue 9911054940 @vijayshekhar,rickymakes,67,2940180643
80,80,2021-08-30 08:11:44+00:00,1432254698451443712,@vijayshekhar @paytm the customer care person was not at all polite and disconnected the call please hear last call from 9995020392 asked to connect to escalation desk he was very rude and shouting never ever heard customer care person shouting .,MathewThachil,23,363108543
81,81,2021-08-24 10:24:33+00:00,1430113794710147081,@paytm your customers care number has dump i try 50 time of call but didn't connect to exicutive my problem is that i did receive of money 450 in my murchent account but the payment has not sattled in my account yet. please provide me solutions if possible contact 9045560977,himansh83509649,5,1246837412648501248
82,82,2021-08-22 04:25:46+00:00,1429298729052381188,"@paytm @paytmcare payment has not reached the number till date ... nobody is picking your customer care mobile number please respond ... 

the transaction was done by 8587859859 

very pathetic service at your end ... https://t.co/xmufn4qyis",ManpreetSnghVoV,495,42587817
86,86,2021-08-10 07:29:59+00:00,1424996433627738115,@tubeomkar @paytm call me 7318844196 customer care,jakhmijitendra4,0,1424993496537071618
87,87,2021-08-09 01:55:39+00:00,1424549908770529285,@paytm how much time for one complaint resolution as i am in follow up since one week..no reply from customer care.. kindly provide contact number or connect me 9999350563,rohit_1977,43,2292351175
94,94,2021-07-26 05:23:36+00:00,1419528810484047873,@paytmbank sir i'm face a big issue with paytm bank account 917006283020 sir also connect with customers care they told me to upload all necessary documents to remove limit to add money in bank. i also upload that but i not able to add money in bank account.solve this https://t.co/fceqi0ykxr,Pankaj03389218,1,1263868103051657216
95,95,2021-07-25 08:28:00+00:00,1419212827915481089,@thanvihh @paytm customer care number... 9810453324,Abhishe91226623,0,1413746296863682563
96,96,2021-07-21 12:06:36+00:00,1417818287308644354,@paytmcare @paytm customer care not picking call plz help call me 7999799546,Gagandeep7999,1,1417817536503058438
99,99,2021-07-14 06:40:03+00:00,1415199393389551617,"hi @paytm 
this account is scamming people, please see if you can do anything about it.
also, the scammer called from 6290321855. posing to be from @phonepe_ customer care https://t.co/ryykamjmic",svm2202,20,3106629936
100,100,2021-07-12 14:38:04+00:00,1414594916840136707,"@paytm hiiii kindly arrange to resolve my grievance. today evening made a transaction and  upon scanning the barcode of the vendor, amount got transferred to another person as another account got mapped with that barcode. 7503889646

no customer care executive attending my call.",dineshpandey06,1,72279241
102,102,2021-07-08 01:59:12+00:00,1412954389342351362,"@paytm @vijayshekhar  sharma what kinda customer service are you providing.for everything you just set a botwhi know nothing except time pass. 
i am trying to contact since last many centuries but unable to connect with customer care.
account mobile no: 8447912649
call at this no",cancerthezodiac,6,122285414
103,103,2021-07-07 11:14:02+00:00,1412731631434014724,"@paytm @paytmcare 
i'm working on behalf of hangout cakes it department, plz arrange a call back as we have to stop accepting payments on @paytm from our customers. we are now only able to accept payments on @phonepe_ @googlepay @bharat_pe_care plz ask ur team 2 call 7506470063",NinjaFoxxx,0,1335157927657672704
106,106,2021-07-05 03:17:10+00:00,1411886846439673859,@paytm @paytmcare sorry to inform about non-redressal of my fund transfer complaint despite email to mr pranay kar and others on 28.06.2021 and reminder on 04.07.2021 &amp; other correspondence. no contact no. of any customer care official available. pl help. r. p. sharma. 7024116259,RPSharm71698655,15,958655964948914176
108,108,2021-06-25 15:50:55+00:00,1408452656809480199,@paytm how i booked slot because my account 919575365849 is blocked and customer care not reply my queries . please respond me,Vikram5318,7,1161334193391058944
112,112,2021-06-23 11:05:58+00:00,1407656168118390787,@paytm @paytmcare @vijayshekhar i am willing to go the consumer court as my last resort since your customer care has been of no help at all. please reach out to me asap at 7982772562,RajuDas14390513,0,1407574483297132547
113,113,2021-06-23 08:15:18+00:00,1407613220823605249,"hi @paytm 
is +91-7294937263 your verified customer care number. 
@paytmcare",501Aditi,11,1481615874
115,115,2021-06-18 03:19:46+00:00,1405726905584607232,@raosamratoffc @paytm @paytmcare @upi_npci @bankofindia_in npci customer care customer service customer support online transaction job apply 24 hour 6009695690,OnlineC90237976,0,1404334767688933381
116,116,2021-06-14 09:17:01+00:00,1404367261398302724,"@paytm 
your customer service is very bad and pathetic . your customer care doesn't solve my query on this phone no -9910920899. i think i should witch to amazon pay",ManishR13371620,3,1302850177657495553
122,122,2021-06-02 07:28:14+00:00,1399991230201614339,@paytmbankcare can you please contact me through phone call by any of yours customer care executive ...... mine registered mobile no. is 7300188973 !! that will be my solution @paytm @paytmbank,Shekhawat_07_,36,1267369229461917697
123,123,2021-06-01 08:08:02+00:00,1399638859328102400,"@bharatpeindia machine showing error and your customer care number 8882555444 is not working. took 5k and now not responding #pune #punetrader #ckmkb #swipe 
third class service. #covid19vic
#covidiots #cheaters #bharatpe are cheating @paytm is much better https://t.co/b3ggyanvfn",NitinUdaseen,85,825369186184491009
134,134,2021-05-19 13:57:35+00:00,1395015784821231618,"@airtelbank  @paytm @paytmbusiness  @reliancejio @narendramodi @pmoindia @rsprasad @nsitharaman  kya bank hai sala account me paise hai fir bhi recharge nhi na koi customer care se call ???
na hi call krege 9929609905 😢😢😢😢",9929609905,10,857564191
140,140,2021-05-13 10:41:01+00:00,1392791987779104770,"@paytm paytm customer care has also confirmed the receipt of the said amount ₹4463.kindly assist me with the reimbursement. alamgeer, contact 7889582437. email malamgeer493@gmail.com",MdAlamg49198210,3,1391769502270902272
143,143,2021-05-10 19:03:15+00:00,1391831214567264258,"@paytm failed mutual fund amount not credited in my
account after several contact with customer care.
transaction id : nr-mf-iifmf-c-100421-106268
amount : 46,980
further details.
name : rishank kumar singh
pan : jkvps7563e
account no : 919651662275
ifsc code : pytm0123456",RishankKrSingh,10,1359538750653485056
146,146,2021-05-09 14:27:38+00:00,1391399468243689472,@vijayshekhar @paytm @paytmcare i am not able to generate payment link for payment more than 5k. for this issue continuously i am trying to ask the customer care executive for more then 1 hr but none of them is able to resolve the issue. reg no 6364518989. #clueless_team.,KlincoLaundry,1,1391393996480520202
147,147,2021-05-09 13:20:09+00:00,1391382485594898435,"@paytm for one of my merchant account (+91 9828538077 - rakesh), i have not received settlement for the last 6-7 months for the payments. i called the customer care a few days back and was told the issue will be resolved in 2 days. there has been no response yet. please check.",gupta_jatin_,41,169819568
149,149,2021-05-06 11:27:36+00:00,1390266998114848781,@mktrivedi3 @imakhileshgiri @hdfcbanknews @hdfc_bank @finminindia @paytm @hdfcbank_cares 9144972863 customer care number call me,Layakt2,0,1390257198580731906
156,156,2021-05-01 10:14:06+00:00,1388436561541304321,"@paytm 

what is this i want to buy this product but showing an issu plz resolv and call me early
my n. 9125700773
i try to contact to  0120-4606060 customer care but not reach any customer support team
call me https://t.co/5odxg5dks8",anchalc4,5,2842103113
158,158,2021-04-27 11:06:15+00:00,1387000133984817155,@paytmbank @paytmcare @paytm your customer care not resolving my issue. i expect a revert asap. 9776553645,AsishBikash,2,1302803672624066560
159,159,2021-04-27 07:59:19+00:00,1386953090503352330,"@paytm 
@paytmcare 
old kyc cancellation nahi hua aur aapke customer care executive ne mujhe se adhaar card aur pancard ka origenal card ka selfie khick kar whatapp no. behjo bola hai. jiska no. yeh hai. 9863335105.",SumeetK33935860,2,1376681501060866056
160,160,2021-04-26 06:46:31+00:00,1386572381221576706,"@paytm 
@paytmcare
wallet से पैसा भेजा transaction pending है customer care में बात करने का कोई नतीजा नहीं है कृपया संज्ञान लें
8840663607",Jaysnatan1,44,760711234316537856
175,175,2021-04-20 15:59:10+00:00,1384537130513227780,@paytm very disappointed service. customer care service ia too slow. 8767301333,UMESHSAWANT3012,8,1164718965584564224
176,176,2021-04-16 16:57:23+00:00,1383102230887165958,"@vijayshekhar name - mohammad safwan
a/c - 919137944900
ifsc - pytm0123456
my @paytm account is blocked on 12/04/2021
 and i report every day but no any reply from @paytmcare customer care 
i am totally frustrated 
and i request to @paytm  please unblock my ac @paytm  @vijayshekhar @paytmbank",iam_safwan01,10,1372494089933840393
177,177,2021-04-16 16:57:09+00:00,1383102174503206912,"@vijayshekhar @anthonypy_tan name - mohammad safwan
a/c - 919137944900
ifsc - pytm0123456
my @paytm account is blocked on 12/04/2021
 and i report every day but no any reply from @paytmcare customer care 
i am totally frustrated 
and i request to @paytm  please unblock my ac @paytm  @vijayshekhar @paytmbank",iam_safwan01,10,1372494089933840393
178,178,2021-04-16 16:56:06+00:00,1383101909221789696,"@cnbctv18news @vijayshekhar @paytm name - mohammad safwan
a/c - 919137944900
ifsc - pytm0123456
my @paytm account is blocked on 12/04/2021
 and i report every day but no any reply from @paytmcare customer care 
i am totally frustrated 
and i request to @paytm  please unblock my ac @paytm  @vijayshekhar @paytmbank",iam_safwan01,10,1372494089933840393
179,179,2021-04-16 09:54:30+00:00,1382995809709424640,"@paytm name - mohammad safwan
a/c - 919137944900
ifsc - pytm0123456
my @paytm account is blocked on 12/04/2021
 and i report every day but no any reply from @paytmcare customer care 
i am totally frustrated 
and i request to @paytm  please unblock my ac @paytm  @vijayshekhar",iam_safwan01,10,1372494089933840393
181,181,2021-04-15 16:55:05+00:00,1382739263486267393,"@ikshitmistry @vijayshekhar @riteshagar @midnightmillenn @leherapp @vikasmalpani name - mohammad safwan
a/c - 919137944900
ifsc - pytm0123456
my @paytm account is blocked on 12/04/2021
 and i report every day but no any reply from @paytmcare customer care 
i am totally frustrated 
and i request to @paytm  please unblock my ac @paytm  @vijayshekhar @paytmbank",iam_safwan01,10,1372494089933840393
182,182,2021-04-15 15:56:34+00:00,1382724537683378180,"@prakhar_kapoor @vijayshekhar @kapilchopra72 @eazydiner @paytm name - mohammad safwan
a/c - 919137944900
ifsc - pytm0123456
my @paytm account is blocked on 12/04/2021
 and i report every day but no any reply from @paytmcare customer care 
i am totally frustrated 
and i request to @paytm  please unblock my ac @paytm  @vijayshekhar @paytmbank",iam_safwan01,10,1372494089933840393
183,183,2021-04-15 15:52:16+00:00,1382723456349859843,"@fittestgeek @vijayshekhar @drriteshmalik name - mohammad safwan
a/c - 919137944900
ifsc - pytm0123456
my @paytm account is blocked on 12/04/2021
 and i report every day but no any reply from @paytmcare customer care 
i am totally frustrated 
and i request to @paytm  please unblock my ac @paytm  @vijayshekhar @paytmbank",iam_safwan01,10,1372494089933840393
185,185,2021-04-14 20:37:25+00:00,1382432829628313601,"@vijayshekhar name - mohammad safwan
a/c - 919137944900
ifsc - pytm0123456
my @paytm account is blocked on 12/04/2021
 and i report every day but no any reply from @paytmcare customer care 
i am totally frustrated 
and i request to @paytm  please unblock my ac @paytm",iam_safwan01,10,1372494089933840393
186,186,2021-04-14 20:36:30+00:00,1382432598643802114,"@vijayshekhar name - mohammad safwan
a/c - 919137944900
ifsc - pytm0123456
my @paytm account is blocked on 12/04/2021
 and i report every day but no any reply from @paytmcare customer care 
i am totally frustrated 
and i request to @paytm  please unblock my ac @paytm  @vijayshekhar @paytmbank",iam_safwan01,10,1372494089933840393
187,187,2021-04-14 20:36:00+00:00,1382432472248381440,"@vijayshekhar name - mohammad safwan
a/c - 919137944900
ifsc - pytm0123456
my @paytm account is blocked on 12/04/2021
 and i report every day but no any reply from @paytmcare customer care 
i am totally frustrated 
and i request to @paytm  please unblock my ac @paytmashakiran",iam_safwan01,10,1372494089933840393
188,188,2021-04-14 20:35:06+00:00,1382432245370134529,"@aditiraval @vijayshekhar @paytm name - mohammad safwan
a/c - 919137944900
ifsc - pytm0123456
my @paytm account is blocked on 12/04/2021
 and i report every day but no any reply from @paytmcare customer care 
i am totally frustrated 
and i request to @paytm  please unblock my ac @paytm  @vijayshekhar @paytmbank",iam_safwan01,10,1372494089933840393
189,189,2021-04-14 20:34:07+00:00,1382431996798849026,"name - mohammad safwan
a/c - 919137944900
ifsc - pytm0123456
my @paytm account is blocked on 12/04/2021
 and i report every day but no any reply from @paytmcare customer care 
i am totally frustrated 
and i request to @paytm  please unblock my ac @paytm  @vijayshekhar @paytmbank https://t.co/axai2va7xg",iam_safwan01,10,1372494089933840393
191,191,2021-04-12 15:35:45+00:00,1381632135254040578,"#cyberpunk are faster then you guys, received fake @paytm customer care call from mobile number +919883999657, you guys jeep sleeping.
@cyberdost @mpcyberpolice pls look into this.",desh_jn,46,111235208
197,197,2021-04-02 19:44:14+00:00,1378070792777297923,@paytmbusiness @paytmcare @paytm what kind of customer care u r having i dont know i am using ur all in one pos machine and its not working from@last two days but none of them are interested in solving my problems. i am having two machines of ur all in one pos.7004163044,vishalkediaa,5,347336927
199,199,2021-03-29 13:05:35+00:00,1376520913861050383,@paytmbankcare @ravi6617 @paytmcybercell fraud paytm customer care numbers available online also. from these nos. fraudsters calls to people claiming themselves as representative of paytm. one number is 6291670660. https://t.co/6nhlesmupn,Manish70794875,19,1053988871187451904
202,202,2021-03-25 09:44:27+00:00,1375020747635138564,"@paytm dear sir my transactions pending almost 3days still showing pending. i tried to many times ur customer care number but no use. where is my payment. i want now my amount
mobile number 9515235665 https://t.co/g3w7lv39mc",okmanoujkumar,6,3286243296
214,214,2021-02-11 05:45:08+00:00,1359740232812306433,"my paytm account get blocked by you without any reason and your customer care does not give any information about it , pls help me out and unblock my account... my paytm account no  is 9568173238 @paytmcare @paytm",sangwan1196,7,2792029877
215,215,2021-01-19 10:42:37+00:00,1351480173938450434,"@paytmbank  @paytmbankcare  @paytmcare @paytm  sir  my paytm number 6006685569 
and my paytm bank limit imposed after i submitted all my docoment no response from the paytm care 
the customer care serivce of paytm is worst after more than 72 hours no replay from paytm care",Mani32999764,0,1300283379204595714
226,226,2020-12-16 09:51:09+00:00,1339146034799407105,@paytm what is the paytm customer care email id ? i am not able to update adhar card with paytm wallet please help me my paytm number is 9910426822,navedhasan786,53,148750573
227,227,2020-12-16 09:50:29+00:00,1339145866813329408,what is the paytm customer care email id ? i am not able to update adhar card with paytm wallet please help me my paytm number is 9910426822 https://t.co/muco96ch3s,navedhasan786,53,148750573
231,231,2020-11-19 08:02:41+00:00,1329334264299626499,@paytmcare @paytm dear customer your payt'm (document has expire today).your service will block within 24 hrs call us 9144410479 immediately thank you. is this legit ? please take care of it if ts fraud.,lohithchalam,514,59345844
241,241,2020-09-30 02:18:59+00:00,1311128375969234946,"my jio no --9870948282 is not working i successfully recharged with 149 plan through paytm yesterday but even than it is not working.
kindly help and activate it urgently if you really care for your old and senior citizen customers.",M385338743,0,1242722562380984325
243,243,2020-09-23 08:35:07+00:00,1308686321376833538,@paytm kindly tell me whom do i talk regarding an account on paytm.. customer care number has no facility to talk to an agent. kindly help me 9041555551,dosanj_rishi,1,1295764945934589954
246,246,2020-09-15 05:54:16+00:00,1305746738901258243,"@paytm i have received this message 5 times in last 6 days. pls look into. 

dear customer
your ipat'ym kyc has been
expired today please call customer care no 7908432923 immediately your ipat'ym
account blocked within 24hrs.thank you",Anshu_Pattnayak,134,1073234553337085952
247,247,2020-09-13 12:08:41+00:00,1305116186191908866,"@paytm dear payt'm customer your documents has been suspended. to verified call 8250134541 immediately. your account will be blocked within 24 hours. 

when called to verify, guy said he is fm cust care dilli nodia used abusive language disconnected the call. making people pay?",tekgan,24,60829294
